Complaints: 503 rows
complaint_id,vin,customer_name,dealer_code,dealer_name,complaint_date,description,category,subcategory,ai_category,ai_subcategory,ai_confidence,severity,status,model,variant,manufacturing_date,created_at
108,MATSFN62551IN,Vivek Patel,D028,Tata Motors Vaishali Nagar,2025-11-24,uneven panel gap between bonnet and fender on driver side,Body & Paint,Panel Gap,Body & Paint,Panel Gap,0.92,Medium,Resolved,Tiago,XM,2025-08-01,2026-03-13T06:50:08.643-04:00
109,MATNXM23801IN,Ajay Agarwal,D023,Tata Motors Park Street,2025-09-21,water leak from sunroof during heavy rain,Body & Paint,Water Leak,Body & Paint,Water Leak,0.91,Medium,Resolved,Tiago,XZ+,2025-06-02,2026-03-13T06:50:08.880-04:00
110,MATHRK53086IN,Vikram Banerjee,D029,Tata Motors Aliganj,2025-11-18,central locking not working from key fob occasionally,Electrical,Wiring Issue,Electrical,Wiring Issue,0.98,Low,Open,Nexon,XM,2025-04-13,2026-03-13T06:50:09.114-04:00
111,MATPNK37973IN,Ravi Kapoor,D009,Tata Motors Anna Nagar,2025-11-01,steering returning slow after making turns,Steering,Power Steering,Steering,Power Steering,0.98,Low,Open,Tiago,XZ,2025-03-18,2026-03-13T06:50:09.348-04:00
112,MATSFL31565IN,Ashok Chopra,D017,Tata Motors Hinjawadi,2025-11-20,water seeping into boot area during car wash,Body & Paint,Water Leak,Body & Paint,Water Leak,0.81,Low,Open,Punch,Adventure,2025-09-07,2026-03-13T06:50:09.582-04:00
113,MATTGM52432IN,Karthik Joshi,D005,Tata Motors Connaught Place,2025-11-03,uneven panel gap between bonnet and fender on driver side,Body & Paint,Panel Gap,Body & Paint,Panel Gap,0.97,Medium,Resolved,Tiago,EV XZ+,2025-06-12,2026-03-13T06:50:09.815-04:00
114,MATNXL38655IN,Prakash Kumar,D032,Tata Motors Dharampeth,2025-11-11,Apple CarPlay not connecting after software update,Infotainment,Connectivity,Infotainment,Connectivity,0.80,Medium,Closed,Nexon,XZ,2025-01-16,2026-03-13T06:50:10.050-04:00
115,MATTGL24860IN,Anita Bhat,D009,Tata Motors Anna Nagar,2026-02-08,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.95,Medium,Resolved,Safari,XE,2025-06-02,2026-03-13T06:50:10.283-04:00
116,MATNXK95147IN,Karthik Sinha,D010,Tata Motors OMR,2026-01-08,musty smell from AC vents after starting car,AC System,Odor,AC System,Odor,0.98,High,Resolved,Safari,XM,2025-08-31,2026-03-13T06:50:10.519-04:00
117,MATPNM10996IN,Priya Kumar,D020,Tata Motors Gachibowli,2025-10-10,rain sensing wipers activating in dry conditions,Electrical,Sensor Issue,Electrical,Sensor Issue,0.98,Low,Resolved,Tiago,EV XZ+,2025-03-22,2026-03-13T06:50:10.784-04:00
118,MATSFN84997IN,Nisha Menon,D003,Tata Motors Powai,2025-09-30,ABS warning light appearing intermittently,Brakes,ABS Issue,Brakes,ABS Issue,0.79,Critical,In Progress,Tiago,XZ,2025-03-30,2026-03-13T06:50:11.019-04:00
119,MATHRK26558IN,Sunita Bhat,D030,Tata Motors Gomti Nagar,2025-12-22,metallic rattling noise from engine bay at idle,NVH,Rattling Noise,NVH,Rattling Noise,0.88,Medium,Open,Nexon,EV XZ+,2025-05-30,2026-03-13T06:50:11.253-04:00
120,MATSFL41420IN,Rahul Tiwari,D036,Tata Motors Panchkula,2025-12-05,grinding noise from front brakes during slow speed braking,Brakes,Noise,Brakes,Noise,0.83,Low,Open,Nexon,XZ,2024-12-25,2026-03-13T06:50:11.492-04:00
121,MATTGL24034IN,Swati Banerjee,D021,Tata Motors Hitech City,2025-12-03,brake pedal goes too deep before engaging,Brakes,Pedal Feel,Transmission,DCT Issue,0.68,Medium,Open,Tiago,XZ,2025-02-18,2026-03-13T06:50:11.726-04:00
122,MATNXK96463IN,Amit Verma,D023,Tata Motors Park Street,2026-01-05,door panel gap wider on left side compared to right,Body & Paint,Panel Gap,Transmission,DCT Issue,0.55,High,In Progress,Nexon,XE,2025-06-02,2026-03-13T06:50:11.960-04:00
123,MATSFK38804IN,Suresh Verma,D004,Tata Motors Navi Mumbai,2025-10-05,metallic noise when braking from high speed,Brakes,Noise,Brakes,Noise,0.86,Medium,In Progress,Tiago,EV XZ+,2024-10-28,2026-03-13T06:50:12.194-04:00
124,MATHRK61488IN,Deepa Mukherjee,D024,Tata Motors Howrah,2025-12-18,touchscreen unresponsive in certain areas of the display,Infotainment,Screen Issue,Infotainment,Screen Issue,0.86,Low,Open,Safari,Adventure,2025-03-21,2026-03-13T06:50:12.428-04:00
125,MATNXK31921IN,Sunita Das,D033,Tata Motors MG Road,2025-10-20,display ghosting effect visible on infotainment screen,Infotainment,Screen Issue,Body & Paint,Water Leak,0.47,High,In Progress,Harrier,XZ,2025-04-20,2026-03-13T06:50:12.662-04:00
126,MATSFM11262IN,Smita Desai,D008,Tata Motors Gurgaon,2025-10-16,dampness observed near A-pillar after rain,Body & Paint,Water Leak,Body & Paint,Water Leak,0.91,Medium,Resolved,Punch,EV Adventure,2024-11-25,2026-03-13T06:50:12.896-04:00
127,MATHRN16509IN,Swati Rao,D011,Tata Motors Adyar,2025-12-23,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.98,Low,Open,Tiago,EV XZ+,2025-04-23,2026-03-13T06:50:13.129-04:00
128,MATHRK14850IN,Dinesh Das,D033,Tata Motors MG Road,2025-12-07,door hinge squeaking when opening passenger door,NVH,Squeaking,NVH,Squeaking,0.90,Critical,In Progress,Tiago,XZ+,2025-05-31,2026-03-13T06:50:13.363-04:00
129,MATSFK23466IN,Sachin Pillai,D035,Tata Motors Rajpur Road,2025-12-30,hard shifting observed between 2nd and 3rd gear in AMT,Transmission,Gear Issue,Transmission,Gear Issue,0.84,High,Closed,Safari,XZ,2025-08-16,2026-03-13T06:50:13.597-04:00
130,MATSFN28056IN,Pooja Pillai,D036,Tata Motors Panchkula,2026-02-04,rain sensing wipers activating in dry conditions,Electrical,Sensor Issue,Electrical,Sensor Issue,0.97,Medium,In Progress,Safari,XZ,2025-08-10,2026-03-13T06:50:13.835-04:00
131,MATHRM44578IN,Bhavna Joshi,D029,Tata Motors Aliganj,2025-10-14,soft brake pedal feel especially in morning,Brakes,Pedal Feel,Brakes,Pedal Feel,0.90,Medium,Open,Safari,XZ+,2025-05-15,2026-03-13T06:50:14.070-04:00
132,MATHRL23849IN,Sachin Sinha,D015,Tata Motors Jayanagar,2026-02-01,steering returning slow after making turns,Steering,Power Steering,Steering,Power Steering,0.92,Low,Closed,Nexon,XE,2025-06-08,2026-03-13T06:50:14.304-04:00
133,MATSFN72421IN,Amit Tiwari,D013,Tata Motors Koramangala,2026-03-04,water leak from sunroof during heavy rain,Body & Paint,Water Leak,Electrical,Sensor Issue,0.56,Medium,Resolved,Safari,XZ,2025-11-05,2026-03-13T06:50:14.538-04:00
134,MATPNK99281IN,Karthik Pandey,D026,Tata Motors SG Highway,2025-11-17,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.91,High,In Progress,Punch,Adventure,2024-11-24,2026-03-13T06:50:14.773-04:00
135,MATPNL32417IN,Neha Mukherjee,D033,Tata Motors MG Road,2025-12-17,brake pedal goes too deep before engaging,Brakes,Pedal Feel,Brakes,Pedal Feel,0.88,Medium,Open,Punch,Accomplished,2025-06-19,2026-03-13T06:50:15.007-04:00
136,MATPNK53785IN,Kavita Mishra,D026,Tata Motors SG Highway,2026-01-09,display ghosting effect visible on infotainment screen,Infotainment,Screen Issue,Infotainment,Screen Issue,0.82,Low,In Progress,Punch,EV Adventure,2025-12-07,2026-03-13T06:50:15.245-04:00
137,MATNXN53997IN,Sanjay Pillai,D018,Tata Motors Baner,2025-11-30,gear lever vibration during acceleration,NVH,Vibration,NVH,Vibration,0.79,Low,In Progress,Safari,XZ,2025-02-16,2026-03-13T06:50:15.500-04:00
138,MATHRL38869IN,Kavita Agarwal,D040,Tata Motors Vizag CBD,2025-11-13,musty smell from AC vents after starting car,AC System,Odor,AC System,Odor,0.99,Medium,Resolved,Harrier,XM,2025-01-12,2026-03-13T06:50:15.735-04:00
139,MATHRM99006IN,Bhavna Mishra,D039,Tata Motors Edappally,2025-10-27,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Electrical,Wiring Issue,0.66,High,Open,Nexon,XZ+ Lux,2025-07-13,2026-03-13T06:50:15.969-04:00
140,MATPNL71121IN,Lakshmi Malhotra,D008,Tata Motors Gurgaon,2025-10-20,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.79,Medium,In Progress,Harrier,XZ+ Dark,2025-08-22,2026-03-13T06:50:16.203-04:00
141,MATTGK30321IN,Sanjay Rao,D002,Tata Motors Thane,2026-02-26,door hinge squeaking when opening passenger door,NVH,Squeaking,NVH,Squeaking,0.79,Medium,Open,Punch,Accomplished,2025-12-23,2026-03-13T06:50:16.437-04:00
142,MATSFL64566IN,Neha Chatterjee,D012,Tata Motors Whitefield,2026-02-07,wireless charging pad not detecting phone properly,Infotainment,Connectivity,Steering,Power Steering,0.38,Critical,Closed,Harrier,XZ+,2025-02-08,2026-03-13T06:50:16.670-04:00
143,MATPNK13627IN,Anita Patel,D026,Tata Motors SG Highway,2025-12-15,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Transmission,DCT Issue,0.55,High,Open,Tiago,XM,2025-08-28,2026-03-13T06:50:16.904-04:00
144,MATNXK87901IN,Vivek Joshi,D027,Tata Motors Civil Lines,2026-03-01,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Brakes,Pedal Feel,0.79,Medium,Resolved,Tiago,XE,2025-09-27,2026-03-13T06:50:17.186-04:00
145,MATSFN10845IN,Deepa Agarwal,D035,Tata Motors Rajpur Road,2025-09-22,AC blower not working on speed 1 setting,AC System,Blower Issue,AC System,Blower Issue,0.97,Medium,Resolved,Harrier,XE,2025-03-12,2026-03-13T06:50:17.429-04:00
146,MATTGK96266IN,Sneha Pillai,D034,Tata Motors Palasia,2025-09-21,uneven panel gap between bonnet and fender on driver side,Body & Paint,Panel Gap,Body & Paint,Panel Gap,0.90,High,Open,Harrier,XZ+,2025-01-16,2026-03-13T06:50:17.663-04:00
147,MATPNN24068IN,Sneha Chatterjee,D025,Tata Motors Ashram Road,2026-01-15,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,Steering,Power Steering,0.82,Medium,Open,Tiago,XZ,2025-07-16,2026-03-13T06:50:17.898-04:00
148,MATHRN78820IN,Sneha Iyer,D027,Tata Motors Civil Lines,2025-12-09,musty smell from AC vents after starting car,AC System,Odor,AC System,Odor,0.85,Low,In Progress,Punch,EV Adventure,2025-09-23,2026-03-13T06:50:18.132-04:00
149,MATPNL89408IN,Swati Dutta,D025,Tata Motors Ashram Road,2026-01-19,dashboard rattling noise at speeds above 80 kmph,NVH,Rattling Noise,NVH,Rattling Noise,0.90,Medium,Open,Tiago,EV XZ+,2025-07-03,2026-03-13T06:50:18.365-04:00
150,MATNXN60342IN,Lakshmi Iyer,D013,Tata Motors Koramangala,2025-12-31,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.82,High,Resolved,Nexon,EV XZ+,2025-05-21,2026-03-13T06:50:18.599-04:00
151,MATHRN31245IN,Deepa Sharma,D024,Tata Motors Howrah,2025-11-28,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.96,High,In Progress,Tiago,XZ+,2025-10-06,2026-03-13T06:50:18.832-04:00
152,MATPNN91981IN,Ravi Kapoor,D017,Tata Motors Hinjawadi,2025-10-24,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,Steering,Power Steering,0.83,Medium,Open,Tiago,EV XZ+,2024-10-24,2026-03-13T06:50:19.065-04:00
153,MATSFL80047IN,Vikram Tiwari,D032,Tata Motors Dharampeth,2025-10-26,AC blower not working on speed 1 setting,AC System,Blower Issue,AC System,Blower Issue,0.93,Medium,Closed,Punch,Creative,2024-11-02,2026-03-13T06:50:19.299-04:00
154,MATSFN40882IN,Parveen Sharma,D004,Tata Motors Navi Mumbai,2026-02-26,AC blower making loud noise at speed 3 and above,AC System,Blower Issue,AC System,Blower Issue,0.81,Low,In Progress,Nexon,XZ+,2025-03-17,2026-03-13T06:50:19.533-04:00
155,MATNXL13454IN,Suresh Bhat,D001,Tata Motors Andheri,2025-09-16,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.84,Critical,Open,Tiago,EV XZ+,2025-01-09,2026-03-13T06:50:19.767-04:00
156,MATSFL17592IN,Amit Kumar,D010,Tata Motors OMR,2026-01-10,tailgate not aligning properly with body panels,Body & Paint,Panel Gap,Body & Paint,Panel Gap,0.80,Critical,In Progress,Harrier,XM,2025-08-18,2026-03-13T06:50:20.004-04:00
157,MATSFN89445IN,Manoj Gupta,D026,Tata Motors SG Highway,2025-12-19,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.82,Medium,In Progress,Punch,Creative,2025-02-03,2026-03-13T06:50:20.238-04:00
158,MATSFK80964IN,Lakshmi Nair,D037,Tata Motors Sector 17,2025-10-14,centre console rattling when playing music at high volume,NVH,Rattling Noise,NVH,Rattling Noise,0.69,Medium,Closed,Punch,Accomplished,2025-07-03,2026-03-13T06:50:20.471-04:00
159,MATNXN67708IN,Anjali Joshi,D037,Tata Motors Sector 17,2025-11-05,whining noise from power steering pump at full lock,Steering,Power Steering,Steering,Power Steering,0.81,Critical,Resolved,Harrier,XZ+ Dark,2025-04-12,2026-03-13T06:50:20.705-04:00
160,MATTGM13406IN,Smita Agarwal,D005,Tata Motors Connaught Place,2025-10-23,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,Steering,Power Steering,0.94,Medium,Open,Safari,Adventure,2025-03-15,2026-03-13T06:50:20.941-04:00
161,MATTGM65552IN,Pooja Sharma,D025,Tata Motors Ashram Road,2025-12-04,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.81,High,Resolved,Nexon,EV Max XZ+ Lux,2025-05-26,2026-03-13T06:50:21.176-04:00
162,MATNXM50225IN,Tanya Kumar,D020,Tata Motors Gachibowli,2026-02-15,paint bubbling observed near wheel arch,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.87,Medium,In Progress,Punch,Accomplished,2026-01-03,2026-03-13T06:50:21.410-04:00
163,MATSFL74871IN,Gaurav Nair,D039,Tata Motors Edappally,2026-01-10,steering feels off-centre when driving straight,Steering,Alignment,Steering,Alignment,0.94,High,Resolved,Tiago,XZ,2025-02-22,2026-03-13T06:50:21.643-04:00
164,MATSFM98917IN,Parveen Mukherjee,D009,Tata Motors Anna Nagar,2026-02-22,uneven panel gap between bonnet and fender on driver side,Body & Paint,Panel Gap,Body & Paint,Panel Gap,0.87,Medium,In Progress,Safari,XZ,2025-07-23,2026-03-13T06:50:21.879-04:00
165,MATSFM95456IN,Ajay Reddy,D040,Tata Motors Vizag CBD,2025-12-19,central locking not working from key fob occasionally,Electrical,Wiring Issue,Electrical,Wiring Issue,0.86,High,In Progress,Harrier,XZ+,2025-04-08,2026-03-13T06:50:22.114-04:00
166,MATPNL20133IN,Nitin Verma,D020,Tata Motors Gachibowli,2025-10-02,screeching noise from rear brakes in reverse,Brakes,Noise,Brakes,Noise,0.86,Medium,Resolved,Safari,Adventure,2024-12-25,2026-03-13T06:50:22.348-04:00
167,MATSFL53081IN,Vikram Tiwari,D018,Tata Motors Baner,2025-11-15,parking sensors giving false alerts with no obstacle,Electrical,Sensor Issue,Electrical,Sensor Issue,0.89,Medium,Resolved,Punch,Accomplished,2025-07-01,2026-03-13T06:50:22.584-04:00
168,MATHRL26420IN,Dinesh Bhat,D027,Tata Motors Civil Lines,2025-10-11,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.93,High,Open,Punch,Adventure,2025-01-09,2026-03-13T06:50:22.819-04:00
169,MATPNN82689IN,Prakash Sinha,D027,Tata Motors Civil Lines,2025-09-24,subwoofer not producing bass at lower volumes,Infotainment,Audio,Infotainment,Audio,0.97,Low,Open,Tiago,XE,2025-02-25,2026-03-13T06:50:23.056-04:00
170,MATNXN56525IN,Nisha Mishra,D026,Tata Motors SG Highway,2025-10-17,headlight flickering intermittently during night driving,Electrical,Wiring Issue,Electrical,Wiring Issue,0.89,Medium,Resolved,Safari,XZ+,2025-05-27,2026-03-13T06:50:23.290-04:00
171,MATSFM59725IN,Rekha Saxena,D038,Tata Motors Kadavanthara,2026-02-05,display ghosting effect visible on infotainment screen,Infotainment,Screen Issue,Infotainment,Screen Issue,0.87,Critical,Open,Tiago,XM,2025-07-12,2026-03-13T06:50:23.525-04:00
172,MATSFM55527IN,Rahul Dutta,D014,Tata Motors Electronic City,2026-02-12,Bluetooth disconnecting frequently from phone,Infotainment,Connectivity,Infotainment,Connectivity,0.93,Medium,In Progress,Tiago,XZ+,2026-01-02,2026-03-13T06:50:23.759-04:00
173,MATTGL80756IN,Vivek Banerjee,D016,Tata Motors Kothrud,2025-12-02,burning smell when AC is turned on at high fan speed,AC System,Odor,Brakes,Noise,0.58,Low,Resolved,Tiago,XM,2025-10-19,2026-03-13T06:50:24.003-04:00
174,MATSFK39155IN,Arun Mishra,D028,Tata Motors Vaishali Nagar,2025-10-27,brake pedal goes too deep before engaging,Brakes,Pedal Feel,Brakes,Pedal Feel,0.95,Low,Open,Punch,Pure,2025-06-24,2026-03-13T06:50:24.240-04:00
175,MATNXK92219IN,Komal Banerjee,D008,Tata Motors Gurgaon,2025-10-06,audio balance shifting to one side randomly,Infotainment,Audio,Infotainment,Audio,0.90,Medium,Resolved,Safari,XZ+,2025-06-10,2026-03-13T06:50:24.474-04:00
176,MATNXN18816IN,Anjali Nair,D006,Tata Motors Dwarka,2025-10-12,central locking not working from key fob occasionally,Electrical,Wiring Issue,Electrical,Wiring Issue,0.86,Low,In Progress,Harrier,XZ,2025-07-04,2026-03-13T06:50:24.707-04:00
177,MATPNN92578IN,Arun Tiwari,D032,Tata Motors Dharampeth,2025-12-12,burning smell when AC is turned on at high fan speed,AC System,Odor,AC System,Odor,0.85,Medium,Open,Tiago,XM,2025-11-08,2026-03-13T06:50:24.942-04:00
178,MATTGK40783IN,Meera Joshi,D025,Tata Motors Ashram Road,2026-03-06,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.96,Medium,Open,Tiago,EV XZ+,2025-10-15,2026-03-13T06:50:25.176-04:00
179,MATPNL39007IN,Anjali Singh,D035,Tata Motors Rajpur Road,2025-10-26,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.84,Medium,Closed,Safari,XM,2025-09-05,2026-03-13T06:50:25.410-04:00
180,MATHRL61842IN,Rahul Mukherjee,D016,Tata Motors Kothrud,2026-01-19,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Electrical,Battery,0.67,Low,Resolved,Safari,XE,2025-02-22,2026-03-13T06:50:25.643-04:00
181,MATNXN59526IN,Harsh Yadav,D009,Tata Motors Anna Nagar,2025-12-29,brake pedal squeak during light braking,NVH,Squeaking,NVH,Squeaking,0.91,Low,Closed,Harrier,XM,2025-07-04,2026-03-13T06:50:25.882-04:00
182,MATPNN48173IN,Prakash Sinha,D007,Tata Motors Noida,2026-01-09,body vibration felt at idle with AC on,NVH,Vibration,NVH,Vibration,0.81,Low,In Progress,Harrier,XZ+,2025-05-23,2026-03-13T06:50:26.115-04:00
183,MATPNM68600IN,Nitin Banerjee,D018,Tata Motors Baner,2025-09-17,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.94,Medium,Resolved,Punch,Creative,2025-02-11,2026-03-13T06:50:26.348-04:00
184,MATNXN84096IN,Divya Chatterjee,D001,Tata Motors Andheri,2025-11-07,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.86,Critical,Resolved,Nexon,EV XZ+,2025-05-24,2026-03-13T06:50:26.581-04:00
185,MATPNL59241IN,Anjali Gupta,D037,Tata Motors Sector 17,2026-02-01,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.91,High,Open,Harrier,XZ+ Dark,2025-05-22,2026-03-13T06:50:26.815-04:00
186,MATPNM98694IN,Anjali Sinha,D009,Tata Motors Anna Nagar,2025-12-02,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.86,High,Open,Safari,XM,2024-12-17,2026-03-13T06:50:27.049-04:00
187,MATNXL64565IN,Karthik Desai,D006,Tata Motors Dwarka,2025-09-16,grinding noise from front brakes during slow speed braking,Brakes,Noise,Brakes,Noise,0.83,Medium,Open,Nexon,XE,2025-02-23,2026-03-13T06:50:27.283-04:00
188,MATPNL83546IN,Vikram Bhat,D005,Tata Motors Connaught Place,2026-02-07,parking sensors giving false alerts with no obstacle,Electrical,Sensor Issue,Electrical,Sensor Issue,0.86,Medium,In Progress,Harrier,XZ+,2025-02-14,2026-03-13T06:50:27.518-04:00
189,MATHRL10350IN,Suresh Reddy,D037,Tata Motors Sector 17,2025-09-19,burning smell when AC is turned on at high fan speed,AC System,Odor,AC System,Odor,0.91,Low,In Progress,Nexon,XZ+ Lux,2025-01-06,2026-03-13T06:50:27.753-04:00
190,MATPNM50863IN,Priya Pandey,D008,Tata Motors Gurgaon,2025-10-11,Android Auto showing connection error repeatedly,Infotainment,Connectivity,Infotainment,Connectivity,0.83,High,Open,Tiago,XZ+,2024-11-08,2026-03-13T06:50:27.986-04:00
191,MATSFM13315IN,Parveen Sinha,D020,Tata Motors Gachibowli,2025-11-07,ABS warning light appearing intermittently,Brakes,ABS Issue,Brakes,ABS Issue,0.79,High,Closed,Harrier,XZ+ Dark,2025-03-25,2026-03-13T06:50:28.220-04:00
192,MATNXM50683IN,Priya Banerjee,D039,Tata Motors Edappally,2025-09-20,gear lever vibration during acceleration,NVH,Vibration,NVH,Vibration,0.96,Medium,In Progress,Nexon,XZ+ Lux,2025-05-25,2026-03-13T06:50:28.453-04:00
193,MATPNK72055IN,Meera Kumar,D005,Tata Motors Connaught Place,2025-09-15,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Steering,Power Steering,0.58,Medium,In Progress,Nexon,XZ,2025-01-23,2026-03-13T06:50:28.687-04:00
194,MATSFM86919IN,Kavita Patel,D020,Tata Motors Gachibowli,2025-09-30,soft brake pedal feel especially in morning,Brakes,Pedal Feel,Brakes,Pedal Feel,0.90,High,Resolved,Nexon,XZ+ Lux,2025-07-29,2026-03-13T06:50:28.921-04:00
195,MATSFM83473IN,Rahul Desai,D016,Tata Motors Kothrud,2026-02-11,battery warning light appearing intermittently on dashboard,Electrical,Battery,Electrical,Battery,0.84,High,Resolved,Nexon,XZ+,2026-01-06,2026-03-13T06:50:29.155-04:00
196,MATSFM27397IN,Bhavna Kumar,D023,Tata Motors Park Street,2026-03-06,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.94,Medium,Closed,Tiago,EV XZ+,2025-08-17,2026-03-13T06:50:29.475-04:00
197,MATSFN94125IN,Manoj Malhotra,D017,Tata Motors Hinjawadi,2026-02-15,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.96,Low,Open,Tiago,XE,2025-03-29,2026-03-13T06:50:29.739-04:00
198,MATTGN58795IN,Manoj Das,D033,Tata Motors MG Road,2026-03-04,rattling noise near AC vent on bumpy roads,NVH,Rattling Noise,NVH,Rattling Noise,0.86,Low,Closed,Nexon,XE,2025-04-25,2026-03-13T06:50:29.980-04:00
199,MATTGN87801IN,Rekha Pandey,D016,Tata Motors Kothrud,2025-11-01,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.92,Low,Open,Punch,Accomplished,2025-09-09,2026-03-13T06:50:30.217-04:00
200,MATPNL13742IN,Smita Desai,D019,Tata Motors Jubilee Hills,2025-10-05,tire pressure monitoring showing incorrect readings,Electrical,Sensor Issue,Electrical,Sensor Issue,0.82,High,In Progress,Safari,XZ,2025-05-04,2026-03-13T06:50:30.469-04:00
201,MATSFL61903IN,Lakshmi Singh,D013,Tata Motors Koramangala,2026-03-11,AC compressor making clicking sound when engaged,AC System,Cooling Issue,AC System,Cooling Issue,0.89,Medium,Resolved,Tiago,XM,2025-08-22,2026-03-13T06:50:30.703-04:00
202,MATSFN71708IN,Pooja Banerjee,D014,Tata Motors Electronic City,2025-10-31,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,AC System,Blower Issue,0.45,Low,Open,Tiago,XM,2025-03-04,2026-03-13T06:50:30.937-04:00
203,MATNXK74003IN,Vivek Iyer,D007,Tata Motors Noida,2025-12-23,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.98,Low,Open,Tiago,XM,2025-05-06,2026-03-13T06:50:31.172-04:00
204,MATPNM47350IN,Lakshmi Mishra,D015,Tata Motors Jayanagar,2025-10-27,AC blower making loud noise at speed 3 and above,AC System,Blower Issue,AC System,Blower Issue,0.81,Medium,In Progress,Nexon,XM,2025-03-28,2026-03-13T06:50:31.405-04:00
205,MATPNK65372IN,Lakshmi Iyer,D017,Tata Motors Hinjawadi,2026-01-09,AC blower not working on speed 1 setting,AC System,Blower Issue,NVH,Rattling Noise,0.66,Medium,Open,Nexon,XE,2025-06-11,2026-03-13T06:50:31.638-04:00
206,MATPNK29711IN,Sunita Agarwal,D012,Tata Motors Whitefield,2026-01-16,hard shifting observed between 2nd and 3rd gear in AMT,Transmission,Gear Issue,Transmission,Gear Issue,0.95,Low,Open,Nexon,XZ+,2025-10-12,2026-03-13T06:50:31.874-04:00
207,MATNXL45027IN,Sneha Nair,D006,Tata Motors Dwarka,2025-12-19,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Brakes,ABS Issue,0.51,Low,Closed,Tiago,EV XZ+,2025-09-18,2026-03-13T06:50:32.107-04:00
208,MATHRN84588IN,Komal Mukherjee,D037,Tata Motors Sector 17,2026-01-01,clutch pedal vibration when shifting gears,Transmission,Gear Issue,Transmission,Gear Issue,0.82,Low,Open,Punch,Creative,2025-04-18,2026-03-13T06:50:32.341-04:00
209,MATTGL80668IN,Gaurav Saxena,D040,Tata Motors Vizag CBD,2025-10-30,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.84,Low,Open,Harrier,XZ,2025-05-26,2026-03-13T06:50:32.632-04:00
210,MATHRL64306IN,Smita Joshi,D023,Tata Motors Park Street,2026-01-01,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.82,Medium,Open,Punch,EV Adventure,2025-11-03,2026-03-13T06:50:32.877-04:00
211,MATTGM54951IN,Neha Nair,D011,Tata Motors Adyar,2026-01-16,metallic noise when braking from high speed,Brakes,Noise,Brakes,Noise,0.97,Low,Closed,Nexon,XM,2025-02-26,2026-03-13T06:50:33.111-04:00
212,MATNXL91902IN,Neha Desai,D016,Tata Motors Kothrud,2026-01-24,speaker crackling noise from rear right speaker,Infotainment,Audio,Infotainment,Audio,0.85,Medium,Open,Tiago,XZ,2025-04-17,2026-03-13T06:50:33.344-04:00
213,MATHRM24500IN,Sneha Sharma,D003,Tata Motors Powai,2026-02-08,ABS activating unnecessarily on dry road at low speed,Brakes,ABS Issue,Brakes,ABS Issue,0.88,Medium,Resolved,Nexon,XE,2025-07-19,2026-03-13T06:50:33.578-04:00
