Deliveries: 700 rows
delivery_id,vin,customer_name,customer_phone,dealer_code,dealer_name,delivery_date,delivery_officer,odometer_reading,fuel_level,model,variant,epod_signed,customer_remarks,inspection_id,created_at
129,MATSFK23466IN,Arun Rao,+919597287435,D034,Tata Motors Palasia,2026-02-18,Arjun Nambiar,12,Full,Punch,Pure,true,,129,2026-03-13T06:55:28.937-04:00
130,MATSFN28056IN,Rajesh Saxena,+919140933057,D021,Tata Motors Hitech City,2026-02-17,Arjun Nambiar,6,3/4,Harrier,XE,true,,130,2026-03-13T06:55:29.171-04:00
131,MATHRM44578IN,Anjali Reddy,+918114811891,D015,Tata Motors Jayanagar,2026-02-20,Abhishek Pandey,33,Full,Harrier,XM,true,AC not cooling well - dealer scheduled follow-up,131,2026-03-13T06:55:29.410-04:00
132,MATHRL23849IN,Sanjay Sharma,+919994821360,D028,Tata Motors Vaishali Nagar,2026-02-21,Pankaj Dubey,36,3/4,Punch,EV Adventure,true,Excellent handover experience,132,2026-03-13T06:55:29.643-04:00
133,MATSFN72421IN,Meera Menon,+918679453570,D034,Tata Motors Palasia,2026-02-22,Abhishek Pandey,28,3/4,Tiago,XZ,true,Noticed slight vibration during test drive - dealer to check,133,2026-03-13T06:55:29.881-04:00
134,MATPNK99281IN,Sneha Malhotra,+918633931879,D036,Tata Motors Panchkula,2026-02-18,Kunal Trivedi,36,Full,Tiago,EV XZ+,true,Minor scratch noticed on door - dealer promised touch-up,134,2026-03-13T06:55:30.115-04:00
135,MATPNL32417IN,Sunita Joshi,+918092579234,D025,Tata Motors Ashram Road,2026-02-18,Pankaj Dubey,9,Full,Tiago,XM,true,All accessories installed as promised,135,2026-03-13T06:55:30.348-04:00
136,MATPNK53785IN,Rohit Pillai,+919208099999,D025,Tata Motors Ashram Road,2026-02-20,Arjun Nambiar,22,Full,Nexon,XZ+,true,All accessories installed as promised,136,2026-03-13T06:55:30.582-04:00
137,MATNXN53997IN,Manoj Agarwal,+918516869549,D021,Tata Motors Hitech City,2026-02-20,Kunal Trivedi,32,Full,Punch,EV Adventure,true,Noticed slight vibration during test drive - dealer to check,137,2026-03-13T06:55:30.817-04:00
138,MATHRL38869IN,Anjali Verma,+918287259885,D009,Tata Motors Anna Nagar,2026-02-15,Kunal Trivedi,25,Full,Punch,EV Adventure,true,Excellent handover experience,138,2026-03-13T06:55:31.049-04:00
139,MATHRM99006IN,Rekha Desai,+918567313409,D034,Tata Motors Palasia,2026-02-20,Kunal Trivedi,35,Full,Tiago,XE,true,Documentation was delayed by 30 minutes,139,2026-03-13T06:55:31.286-04:00
140,MATPNL71121IN,Kavita Nair,+919793637336,D007,Tata Motors Noida,2026-02-16,Rohit Bhardwaj,44,Full,Punch,Adventure,true,Excellent handover experience,140,2026-03-13T06:55:31.519-04:00
141,MATTGK30321IN,Lakshmi Joshi,+918849514119,D001,Tata Motors Andheri,2026-02-16,Abhishek Pandey,26,3/4,Tiago,XE,true,,141,2026-03-13T06:55:31.755-04:00
142,MATSFL64566IN,Lakshmi Das,+917255865747,D022,Tata Motors Salt Lake,2026-02-20,Pankaj Dubey,7,Full,Tiago,XZ,true,Requested additional floor mats,142,2026-03-13T06:55:31.989-04:00
143,MATPNK13627IN,Rahul Malhotra,+917035178153,D038,Tata Motors Kadavanthara,2026-02-17,Sameer Khanna,34,Full,Punch,Pure,true,Documentation was delayed by 30 minutes,143,2026-03-13T06:55:32.222-04:00
144,MATNXK87901IN,Arun Banerjee,+917196187239,D003,Tata Motors Powai,2026-02-19,Manish Sethi,33,Full,Nexon,XM,true,,144,2026-03-13T06:55:32.464-04:00
145,MATSFN10845IN,Smita Das,+918158099624,D005,Tata Motors Connaught Place,2026-02-19,Pankaj Dubey,45,1/2,Nexon,XE,true,All accessories installed as promised,145,2026-03-13T06:55:32.700-04:00
146,MATTGK96266IN,Vikram Rao,+917591448214,D018,Tata Motors Baner,2026-02-13,Pankaj Dubey,40,1/2,Punch,Accomplished,true,,146,2026-03-13T06:55:32.933-04:00
147,MATPNN24068IN,Karthik Chopra,+919994459472,D038,Tata Motors Kadavanthara,2026-02-17,Sameer Khanna,24,1/2,Punch,Pure,true,,147,2026-03-13T06:55:33.166-04:00
148,MATHRN78820IN,Suresh Menon,+917900730783,D001,Tata Motors Andheri,2026-02-16,Pankaj Dubey,19,3/4,Punch,EV Adventure,true,Noticed slight vibration during test drive - dealer to check,148,2026-03-13T06:55:33.400-04:00
149,MATPNL89408IN,Ravi Kapoor,+919936813115,D003,Tata Motors Powai,2026-02-16,Arjun Nambiar,19,Full,Tiago,XM,true,Delivery process was smooth and professional,149,2026-03-13T06:55:33.634-04:00
150,MATNXN60342IN,Pooja Saxena,+917431946463,D040,Tata Motors Vizag CBD,2026-02-13,Varun Mishra,14,Full,Safari,XE,true,,150,2026-03-13T06:55:33.867-04:00
151,MATHRN31245IN,Rahul Verma,+918537468258,D012,Tata Motors Whitefield,2026-02-14,Nikhil Desai,34,3/4,Harrier,XE,true,Requested additional floor mats,151,2026-03-13T06:55:34.100-04:00
152,MATPNN91981IN,Gaurav Yadav,+917786746301,D011,Tata Motors Adyar,2026-02-18,Pankaj Dubey,12,Full,Tiago,XZ,true,Noticed slight vibration during test drive - dealer to check,152,2026-03-13T06:55:34.334-04:00
153,MATSFL80047IN,Bhavna Gupta,+919379442832,D004,Tata Motors Navi Mumbai,2026-02-13,Pankaj Dubey,27,Full,Punch,Adventure,false,Minor scratch noticed on door - dealer promised touch-up,153,2026-03-13T06:55:34.567-04:00
154,MATSFN40882IN,Anjali Patel,+919592564695,D029,Tata Motors Aliganj,2026-02-17,Varun Mishra,42,Full,Harrier,XZ+ Dark,true,Noticed slight vibration during test drive - dealer to check,154,2026-03-13T06:55:34.802-04:00
155,MATNXL13454IN,Lakshmi Pillai,+918535361190,D007,Tata Motors Noida,2026-02-16,Pankaj Dubey,19,Full,Harrier,XZ+ Dark,true,Requested additional floor mats,155,2026-03-13T06:55:35.036-04:00
156,MATSFL17592IN,Sachin Nair,+919335673069,D024,Tata Motors Howrah,2026-02-12,Varun Mishra,31,Full,Tiago,XE,true,Minor scratch noticed on door - dealer promised touch-up,156,2026-03-13T06:55:35.270-04:00
157,MATSFN89445IN,Suresh Tiwari,+917603001467,D013,Tata Motors Koramangala,2026-02-14,Varun Mishra,25,3/4,Nexon,XZ+ Lux,true,Requested additional floor mats,157,2026-03-13T06:55:35.505-04:00
158,MATSFK80964IN,Rahul Kapoor,+918827087607,D039,Tata Motors Edappally,2026-02-16,Tarun Kaushik,11,Full,Tiago,XZ+,true,All accessories installed as promised,158,2026-03-13T06:55:35.740-04:00
159,MATNXN67708IN,Bhavna Singh,+919195432667,D005,Tata Motors Connaught Place,2026-02-13,Manish Sethi,30,Full,Tiago,XE,true,,159,2026-03-13T06:55:35.976-04:00
160,MATTGM13406IN,Prakash Joshi,+917360074046,D011,Tata Motors Adyar,2026-02-14,Abhishek Pandey,32,Full,Nexon,XZ+ Lux,true,Very happy with the vehicle condition,160,2026-03-13T06:55:36.211-04:00
161,MATTGM65552IN,Ajay Das,+917316769486,D021,Tata Motors Hitech City,2026-02-14,Rohit Bhardwaj,36,3/4,Harrier,XM,true,,161,2026-03-13T06:55:36.451-04:00
162,MATNXM50225IN,Divya Malhotra,+919643746843,D027,Tata Motors Civil Lines,2026-02-15,Abhishek Pandey,39,Full,Safari,XZ,true,Excellent handover experience,162,2026-03-13T06:55:36.685-04:00
163,MATSFL74871IN,Rohit Mishra,+917977380028,D003,Tata Motors Powai,2026-02-15,Varun Mishra,16,1/2,Punch,Creative,true,Very happy with the vehicle condition,163,2026-03-13T06:55:36.918-04:00
164,MATSFM98917IN,Bhavna Dutta,+919388231316,D004,Tata Motors Navi Mumbai,2026-02-16,Kunal Trivedi,7,Full,Punch,Creative,true,,164,2026-03-13T06:55:37.154-04:00
165,MATSFM95456IN,Sanjay Sinha,+917653924391,D025,Tata Motors Ashram Road,2026-02-15,Sameer Khanna,14,Full,Safari,XM,true,Requested additional floor mats,165,2026-03-13T06:55:37.391-04:00
166,MATPNL20133IN,Sunita Patel,+919918524288,D013,Tata Motors Koramangala,2026-02-12,Nikhil Desai,40,Full,Harrier,XM,true,,166,2026-03-13T06:55:37.627-04:00
167,MATSFL53081IN,Ravi Reddy,+919024564509,D009,Tata Motors Anna Nagar,2026-02-11,Pankaj Dubey,28,Full,Nexon,XZ+ Lux,true,Documentation was delayed by 30 minutes,167,2026-03-13T06:55:37.860-04:00
168,MATHRL26420IN,Vikram Singh,+918422645297,D013,Tata Motors Koramangala,2026-02-13,Tarun Kaushik,42,Full,Harrier,XZ+,true,Minor scratch noticed on door - dealer promised touch-up,168,2026-03-13T06:55:38.104-04:00
169,MATPNN82689IN,Pooja Bhat,+917872407812,D030,Tata Motors Gomti Nagar,2026-02-10,Tarun Kaushik,20,Full,Tiago,EV XZ+,true,Very happy with the vehicle condition,169,2026-03-13T06:55:38.348-04:00
170,MATNXN56525IN,Pooja Yadav,+917163787502,D033,Tata Motors MG Road,2026-02-15,Nikhil Desai,42,Full,Harrier,XZ+ Dark,true,Excellent handover experience,170,2026-03-13T06:55:38.581-04:00
171,MATSFM59725IN,Nitin Sharma,+918752347669,D004,Tata Motors Navi Mumbai,2026-02-08,Nikhil Desai,42,Full,Nexon,XE,true,Noticed slight vibration during test drive - dealer to check,171,2026-03-13T06:55:38.814-04:00
172,MATSFM55527IN,Karthik Verma,+918459137933,D040,Tata Motors Vizag CBD,2026-02-12,Varun Mishra,33,Full,Safari,XM,true,,172,2026-03-13T06:55:39.052-04:00
173,MATTGL80756IN,Anjali Reddy,+919943376914,D013,Tata Motors Koramangala,2026-02-14,Abhishek Pandey,10,Full,Tiago,XM,true,Noticed slight vibration during test drive - dealer to check,173,2026-03-13T06:55:39.285-04:00
174,MATSFK39155IN,Komal Reddy,+917673154105,D030,Tata Motors Gomti Nagar,2026-02-09,Varun Mishra,42,Full,Safari,XZ,true,,174,2026-03-13T06:55:39.526-04:00
175,MATNXK92219IN,Nitin Mishra,+917935577847,D007,Tata Motors Noida,2026-02-14,Manish Sethi,32,Full,Tiago,EV XZ+,true,,175,2026-03-13T06:55:39.760-04:00
176,MATNXN18816IN,Karthik Banerjee,+919206946484,D023,Tata Motors Park Street,2026-02-10,Manish Sethi,36,Full,Harrier,XE,true,Delivery process was smooth and professional,176,2026-03-13T06:55:39.994-04:00
177,MATPNN92578IN,Ajay Malhotra,+919657512800,D022,Tata Motors Salt Lake,2026-02-13,Varun Mishra,28,3/4,Nexon,XE,true,Minor scratch noticed on door - dealer promised touch-up,177,2026-03-13T06:55:40.231-04:00
178,MATTGK40783IN,Sneha Sharma,+917762707279,D001,Tata Motors Andheri,2026-02-09,Sameer Khanna,13,Full,Safari,XE,true,All accessories installed as promised,178,2026-03-13T06:55:40.466-04:00
179,MATPNL39007IN,Tanya Desai,+919383498765,D037,Tata Motors Sector 17,2026-02-08,Abhishek Pandey,7,3/4,Punch,Pure,true,Minor scratch noticed on door - dealer promised touch-up,179,2026-03-13T06:55:40.775-04:00
180,MATHRL61842IN,Ashok Yadav,+917237469684,D036,Tata Motors Panchkula,2026-02-12,Nikhil Desai,43,Full,Nexon,EV XZ+,true,Requested additional floor mats,180,2026-03-13T06:55:41.010-04:00
181,MATNXN59526IN,Kavita Sinha,+917204114392,D020,Tata Motors Gachibowli,2026-02-07,Tarun Kaushik,5,Full,Harrier,XZ+,true,Very happy with the vehicle condition,181,2026-03-13T06:55:41.248-04:00
182,MATPNN48173IN,Rohit Agarwal,+919962555463,D021,Tata Motors Hitech City,2026-02-09,Manish Sethi,27,Full,Safari,XE,true,AC not cooling well - dealer scheduled follow-up,182,2026-03-13T06:55:41.484-04:00
183,MATPNM68600IN,Deepa Joshi,+918820912087,D027,Tata Motors Civil Lines,2026-02-12,Kunal Trivedi,37,Full,Harrier,XM,true,Very happy with the vehicle condition,183,2026-03-13T06:55:41.727-04:00
184,MATNXN84096IN,Tanya Agarwal,+917567633467,D026,Tata Motors SG Highway,2026-02-12,Manish Sethi,16,Full,Safari,XM,true,Delivery process was smooth and professional,184,2026-03-13T06:55:41.962-04:00
185,MATPNL59241IN,Kavita Joshi,+918206101033,D002,Tata Motors Thane,2026-02-06,Rohit Bhardwaj,8,Full,Punch,Adventure,true,,185,2026-03-13T06:55:42.197-04:00
186,MATPNM98694IN,Suresh Joshi,+919299599336,D005,Tata Motors Connaught Place,2026-02-06,Kunal Trivedi,15,Full,Harrier,XZ+,true,,186,2026-03-13T06:55:42.433-04:00
187,MATNXL64565IN,Tanya Malhotra,+917846052097,D017,Tata Motors Hinjawadi,2026-02-12,Varun Mishra,29,Full,Nexon,XZ+,true,Excellent handover experience,187,2026-03-13T06:55:42.667-04:00
188,MATPNL83546IN,Manoj Rao,+917038816171,D013,Tata Motors Koramangala,2026-02-08,Arjun Nambiar,39,Full,Tiago,XE,true,,188,2026-03-13T06:55:42.901-04:00
189,MATHRL10350IN,Sachin Joshi,+918633700822,D017,Tata Motors Hinjawadi,2026-02-10,Abhishek Pandey,5,Full,Tiago,XZ+,true,AC not cooling well - dealer scheduled follow-up,189,2026-03-13T06:55:43.139-04:00
190,MATPNM50863IN,Parveen Rao,+919070787268,D019,Tata Motors Jubilee Hills,2026-02-07,Nikhil Desai,7,Full,Harrier,XE,true,,190,2026-03-13T06:55:43.374-04:00
191,MATSFM13315IN,Suresh Kapoor,+917216269226,D034,Tata Motors Palasia,2026-02-07,Manish Sethi,5,Full,Tiago,XE,true,Minor scratch noticed on door - dealer promised touch-up,191,2026-03-13T06:55:43.608-04:00
192,MATNXM50683IN,Sunita Pandey,+917118474729,D014,Tata Motors Electronic City,2026-02-09,Kunal Trivedi,43,Full,Harrier,XM,true,Noticed slight vibration during test drive - dealer to check,192,2026-03-13T06:55:43.841-04:00
193,MATPNK72055IN,Bhavna Pillai,+917347578703,D022,Tata Motors Salt Lake,2026-02-04,Varun Mishra,42,Full,Nexon,XZ,true,Excellent handover experience,193,2026-03-13T06:55:44.076-04:00
194,MATSFM86919IN,Sunita Iyer,+918560656370,D007,Tata Motors Noida,2026-02-06,Rohit Bhardwaj,43,Full,Tiago,XZ,true,Delivery process was smooth and professional,194,2026-03-13T06:55:44.310-04:00
195,MATSFM83473IN,Gaurav Tiwari,+917493421693,D008,Tata Motors Gurgaon,2026-02-06,Abhishek Pandey,16,Full,Safari,XM,true,Very happy with the vehicle condition,195,2026-03-13T06:55:44.545-04:00
196,MATSFM27397IN,Vivek Malhotra,+919939283757,D038,Tata Motors Kadavanthara,2026-02-07,Varun Mishra,37,Full,Tiago,XM,true,Requested additional floor mats,196,2026-03-13T06:55:44.790-04:00
197,MATSFN94125IN,Smita Pillai,+918721388556,D016,Tata Motors Kothrud,2026-02-05,Varun Mishra,13,Full,Safari,XZ,true,Requested additional floor mats,197,2026-03-13T06:55:45.026-04:00
198,MATTGN58795IN,Vivek Chatterjee,+917939561388,D015,Tata Motors Jayanagar,2026-02-10,Sameer Khanna,28,Full,Harrier,XE,true,,198,2026-03-13T06:55:45.261-04:00
199,MATTGN87801IN,Dinesh Pandey,+919253796579,D011,Tata Motors Adyar,2026-02-05,Manish Sethi,23,3/4,Nexon,EV XZ+,true,AC not cooling well - dealer scheduled follow-up,199,2026-03-13T06:55:45.494-04:00
200,MATPNL13742IN,Swati Agarwal,+919814392245,D020,Tata Motors Gachibowli,2026-02-05,Tarun Kaushik,29,1/2,Tiago,XZ,true,Requested additional floor mats,200,2026-03-13T06:55:45.727-04:00
201,MATSFL61903IN,Neha Desai,+918822195389,D030,Tata Motors Gomti Nagar,2026-02-06,Arjun Nambiar,18,Full,Nexon,XZ+,false,,201,2026-03-13T06:55:45.970-04:00
202,MATSFN71708IN,Rekha Rao,+917415590999,D036,Tata Motors Panchkula,2026-02-03,Tarun Kaushik,16,Full,Safari,XE,true,,202,2026-03-13T06:55:46.205-04:00
203,MATNXK74003IN,Harsh Joshi,+917484019819,D040,Tata Motors Vizag CBD,2026-02-05,Abhishek Pandey,30,1/2,Tiago,XZ+,true,Very happy with the vehicle condition,203,2026-03-13T06:55:46.440-04:00
204,MATPNM47350IN,Ravi Desai,+917116879615,D028,Tata Motors Vaishali Nagar,2026-02-06,Tarun Kaushik,29,Full,Tiago,XE,true,Documentation was delayed by 30 minutes,204,2026-03-13T06:55:46.680-04:00
205,MATPNK65372IN,Smita Bhat,+919074624931,D007,Tata Motors Noida,2026-02-06,Sameer Khanna,18,Full,Harrier,XE,true,Very happy with the vehicle condition,205,2026-03-13T06:55:46.917-04:00
206,MATPNK29711IN,Priya Iyer,+919324795806,D037,Tata Motors Sector 17,2026-02-03,Arjun Nambiar,36,Full,Punch,Adventure,true,Very happy with the vehicle condition,206,2026-03-13T06:55:47.174-04:00
207,MATNXL45027IN,Manoj Chopra,+917338262722,D032,Tata Motors Dharampeth,2026-02-06,Pankaj Dubey,41,1/2,Tiago,XZ,true,,207,2026-03-13T06:55:47.408-04:00
208,MATHRN84588IN,Ajay Singh,+919840350511,D034,Tata Motors Palasia,2026-02-09,Nikhil Desai,35,3/4,Safari,XM,true,Documentation was delayed by 30 minutes,208,2026-03-13T06:55:47.641-04:00
209,MATTGL80668IN,Meera Kumar,+917187608505,D026,Tata Motors SG Highway,2026-02-03,Tarun Kaushik,8,Full,Harrier,XM,true,,209,2026-03-13T06:55:47.876-04:00
210,MATHRL64306IN,Suresh Kumar,+919333095391,D036,Tata Motors Panchkula,2026-02-06,Manish Sethi,15,Full,Nexon,XM,true,Noticed slight vibration during test drive - dealer to check,210,2026-03-13T06:55:48.109-04:00
211,MATTGM54951IN,Bhavna Gupta,+917087712916,D026,Tata Motors SG Highway,2026-02-02,Varun Mishra,39,Full,Safari,XM,true,Requested additional floor mats,211,2026-03-13T06:55:48.344-04:00
212,MATNXL91902IN,Sneha Pandey,+919063553408,D035,Tata Motors Rajpur Road,2026-02-07,Pankaj Dubey,33,Full,Nexon,XZ+ Lux,true,AC not cooling well - dealer scheduled follow-up,212,2026-03-13T06:55:48.580-04:00
213,MATHRM24500IN,Ravi Tiwari,+919476268205,D038,Tata Motors Kadavanthara,2026-02-06,Manish Sethi,23,Full,Nexon,XZ+,true,Documentation was delayed by 30 minutes,213,2026-03-13T06:55:48.816-04:00
214,MATTGN79796IN,Nitin Nair,+917579055539,D008,Tata Motors Gurgaon,2026-02-02,Varun Mishra,36,Full,Safari,XE,true,Requested additional floor mats,214,2026-03-13T06:55:49.049-04:00
215,MATTGN64823IN,Divya Rao,+918528777081,D031,Tata Motors Sadar,2026-02-08,Kunal Trivedi,11,Full,Harrier,XM,true,,215,2026-03-13T06:55:49.286-04:00
216,MATPNL41367IN,Anjali Kumar,+919115340169,D032,Tata Motors Dharampeth,2026-02-02,Arjun Nambiar,45,3/4,Safari,XZ,true,AC not cooling well - dealer scheduled follow-up,216,2026-03-13T06:55:49.519-04:00
217,MATSFN42094IN,Rohit Pandey,+918044767909,D002,Tata Motors Thane,2026-02-04,Varun Mishra,31,Full,Tiago,XM,true,Documentation was delayed by 30 minutes,217,2026-03-13T06:55:49.752-04:00
218,MATSFM15230IN,Sunita Tiwari,+918513542623,D017,Tata Motors Hinjawadi,2026-02-04,Manish Sethi,16,Full,Tiago,XZ+,true,,218,2026-03-13T06:55:49.989-04:00
219,MATPNM42077IN,Ajay Menon,+919614786508,D013,Tata Motors Koramangala,2026-02-04,Rohit Bhardwaj,18,Full,Harrier,XZ+ Dark,true,,219,2026-03-13T06:55:50.222-04:00
220,MATSFL26849IN,Prakash Tiwari,+917907351140,D040,Tata Motors Vizag CBD,2026-02-01,Kunal Trivedi,42,Full,Nexon,XE,true,,220,2026-03-13T06:55:50.460-04:00
221,MATSFN59068IN,Bhavna Nair,+919996596068,D012,Tata Motors Whitefield,2026-02-04,Sameer Khanna,12,Full,Punch,Pure,true,,221,2026-03-13T06:55:50.693-04:00
222,MATPNK84633IN,Vikram Rao,+919120647095,D034,Tata Motors Palasia,2026-02-04,Pankaj Dubey,17,Full,Harrier,XM,true,,222,2026-03-13T06:55:50.929-04:00
223,MATHRN39928IN,Manoj Saxena,+919968050530,D005,Tata Motors Connaught Place,2026-02-04,Arjun Nambiar,31,3/4,Tiago,XE,true,Very happy with the vehicle condition,223,2026-03-13T06:55:51.163-04:00
224,MATPNK80376IN,Sachin Mukherjee,+919262946995,D016,Tata Motors Kothrud,2026-02-01,Pankaj Dubey,22,Full,Tiago,XE,true,,224,2026-03-13T06:55:51.397-04:00
225,MATPNN45486IN,Ajay Tiwari,+917241730774,D009,Tata Motors Anna Nagar,2026-02-02,Arjun Nambiar,35,Full,Nexon,XZ,true,AC not cooling well - dealer scheduled follow-up,225,2026-03-13T06:55:51.630-04:00
226,MATPNN51839IN,Sunita Bhat,+918429830146,D028,Tata Motors Vaishali Nagar,2026-02-02,Kunal Trivedi,19,Full,Safari,Adventure,true,Very happy with the vehicle condition,226,2026-03-13T06:55:51.864-04:00
227,MATPNM99751IN,Ajay Dutta,+919516836217,D006,Tata Motors Dwarka,2026-02-05,Kunal Trivedi,12,Full,Harrier,XZ+ Dark,true,AC not cooling well - dealer scheduled follow-up,227,2026-03-13T06:55:52.099-04:00
228,MATSFN44452IN,Ajay Sinha,+917661971081,D037,Tata Motors Sector 17,2026-02-01,Nikhil Desai,25,Full,Punch,EV Adventure,true,,228,2026-03-13T06:55:52.334-04:00
229,MATSFL36504IN,Meera Kumar,+919577834585,D018,Tata Motors Baner,2026-02-03,Nikhil Desai,25,Full,Punch,Adventure,true,Excellent handover experience,229,2026-03-13T06:55:52.568-04:00
230,MATPNK71587IN,Ravi Tiwari,+919119699593,D039,Tata Motors Edappally,2026-02-04,Rohit Bhardwaj,16,3/4,Punch,Adventure,true,AC not cooling well - dealer scheduled follow-up,230,2026-03-13T06:55:52.802-04:00
231,MATSFL29893IN,Arun Verma,+917160299591,D015,Tata Motors Jayanagar,2026-01-31,Varun Mishra,39,Full,Safari,XZ,true,Minor scratch noticed on door - dealer promised touch-up,231,2026-03-13T06:55:53.038-04:00
232,MATSFL38155IN,Ravi Singh,+917892963171,D009,Tata Motors Anna Nagar,2026-02-01,Kunal Trivedi,21,Full,Harrier,XZ+,true,Requested additional floor mats,232,2026-03-13T06:55:53.273-04:00
233,MATNXK58952IN,Sneha Mukherjee,+918040934434,D026,Tata Motors SG Highway,2026-01-30,Sameer Khanna,35,Full,Nexon,XE,true,AC not cooling well - dealer scheduled follow-up,233,2026-03-13T06:55:53.534-04:00
234,MATTGL89958IN,Komal Patel,+919794358042,D039,Tata Motors Edappally,2026-01-31,Abhishek Pandey,32,Full,Tiago,XZ,true,Documentation was delayed by 30 minutes,234,2026-03-13T06:55:53.768-04:00
235,MATPNK48510IN,Rekha Reddy,+919704273567,D025,Tata Motors Ashram Road,2026-02-02,Tarun Kaushik,7,Full,Nexon,XM,true,Documentation was delayed by 30 minutes,235,2026-03-13T06:55:54.028-04:00
236,MATHRL29435IN,Neha Chopra,+917462186314,D038,Tata Motors Kadavanthara,2026-02-03,Manish Sethi,35,Full,Nexon,XZ+,true,Delivery process was smooth and professional,236,2026-03-13T06:55:54.265-04:00
237,MATSFN27997IN,Pooja Rao,+918719962954,D038,Tata Motors Kadavanthara,2026-02-02,Kunal Trivedi,9,Full,Harrier,XM,true,Documentation was delayed by 30 minutes,237,2026-03-13T06:55:54.500-04:00
238,MATSFL35032IN,Arun Dutta,+918841649051,D038,Tata Motors Kadavanthara,2026-01-31,Manish Sethi,6,Full,Safari,XZ+,true,Noticed slight vibration during test drive - dealer to check,238,2026-03-13T06:55:54.740-04:00
239,MATPNM12077IN,Manoj Chopra,+918261579013,D013,Tata Motors Koramangala,2026-02-02,Sameer Khanna,16,Full,Tiago,XE,true,Excellent handover experience,239,2026-03-13T06:55:54.976-04:00
240,MATHRK57850IN,Meera Singh,+919956421142,D012,Tata Motors Whitefield,2026-01-29,Abhishek Pandey,38,3/4,Tiago,XZ,true,Very happy with the vehicle condition,240,2026-03-13T06:55:55.211-04:00
241,MATNXK18693IN,Sneha Rao,+919893559617,D036,Tata Motors Panchkula,2026-02-03,Arjun Nambiar,16,Full,Nexon,EV XZ+,true,Minor scratch noticed on door - dealer promised touch-up,241,2026-03-13T06:55:55.521-04:00
242,MATNXL74592IN,Suresh Yadav,+919337656806,D005,Tata Motors Connaught Place,2026-01-28,Varun Mishra,24,Full,Nexon,XZ,true,All accessories installed as promised,242,2026-03-13T06:55:55.828-04:00
243,MATTGM77751IN,Meera Reddy,+919875059939,D017,Tata Motors Hinjawadi,2026-02-03,Sameer Khanna,15,Full,Punch,EV Adventure,true,Delivery process was smooth and professional,243,2026-03-13T06:55:56.063-04:00
244,MATHRK52274IN,Ajay Menon,+918886428005,D015,Tata Motors Jayanagar,2026-01-27,Rohit Bhardwaj,27,Full,Harrier,XZ+ Dark,true,,244,2026-03-13T06:55:56.340-04:00
245,MATSFN81945IN,Harsh Rao,+919823382703,D037,Tata Motors Sector 17,2026-02-01,Varun Mishra,26,Full,Harrier,XM,true,Documentation was delayed by 30 minutes,245,2026-03-13T06:55:56.647-04:00
246,MATNXL76155IN,Prakash Menon,+917442597044,D001,Tata Motors Andheri,2026-02-02,Tarun Kaushik,36,Full,Harrier,XZ+ Dark,true,Documentation was delayed by 30 minutes,246,2026-03-13T06:55:56.955-04:00
247,MATNXL31710IN,Vikram Yadav,+917826868853,D036,Tata Motors Panchkula,2026-02-01,Manish Sethi,7,Full,Punch,Adventure,true,,247,2026-03-13T06:55:57.262-04:00
248,MATNXM82844IN,Nitin Kumar,+919939377693,D040,Tata Motors Vizag CBD,2026-01-28,Abhishek Pandey,8,Full,Nexon,XZ,true,Requested additional floor mats,248,2026-03-13T06:55:57.569-04:00
249,MATNXL46204IN,Vikram Agarwal,+917303220952,D006,Tata Motors Dwarka,2026-02-01,Sameer Khanna,17,Full,Nexon,XZ+ Lux,true,Minor scratch noticed on door - dealer promised touch-up,249,2026-03-13T06:55:57.877-04:00
250,MATSFN80943IN,Prakash Banerjee,+917753459205,D008,Tata Motors Gurgaon,2026-01-27,Sameer Khanna,45,1/2,Harrier,XZ+,true,Requested additional floor mats,250,2026-03-13T06:55:58.112-04:00
251,MATNXM89077IN,Gaurav Rao,+919504335390,D009,Tata Motors Anna Nagar,2026-01-31,Rohit Bhardwaj,43,Full,Nexon,XE,true,Delivery process was smooth and professional,251,2026-03-13T06:55:58.345-04:00
252,MATNXL73641IN,Manoj Chatterjee,+918648079302,D019,Tata Motors Jubilee Hills,2026-01-27,Varun Mishra,41,Full,Safari,XM,true,Excellent handover experience,252,2026-03-13T06:55:58.580-04:00
253,MATTGK85448IN,Dinesh Saxena,+917824095060,D027,Tata Motors Civil Lines,2026-02-01,Abhishek Pandey,6,3/4,Harrier,XZ+,true,Minor scratch noticed on door - dealer promised touch-up,253,2026-03-13T06:55:58.815-04:00
254,MATNXL84308IN,Meera Sinha,+919709806957,D030,Tata Motors Gomti Nagar,2026-01-27,Nikhil Desai,23,Full,Tiago,XZ+,true,,254,2026-03-13T06:55:59.049-04:00
255,MATHRM83200IN,Arun Iyer,+918761415531,D027,Tata Motors Civil Lines,2026-01-30,Arjun Nambiar,17,3/4,Safari,XZ,true,All accessories installed as promised,255,2026-03-13T06:55:59.283-04:00
256,MATSFM67379IN,Manoj Joshi,+918105328182,D023,Tata Motors Park Street,2026-01-30,Arjun Nambiar,35,Full,Nexon,XZ+ Lux,true,AC not cooling well - dealer scheduled follow-up,256,2026-03-13T06:55:59.517-04:00
257,MATPNK60494IN,Gaurav Rao,+919629782909,D030,Tata Motors Gomti Nagar,2026-01-30,Tarun Kaushik,7,Full,Harrier,XZ+ Dark,true,Delivery process was smooth and professional,257,2026-03-13T06:55:59.750-04:00
